cohort,skill_id,skill_name,has_skill_md,embedded_example_mentions,embedded_code_fence_count,example_dir_count,example_dir_paths,example_file_count,example_total_bytes,example_file_exts
popular,affaan-m-everything-claude-code-skills-golang-patterns-skill-md,golang-patterns,1,0,26,0,,0,0,
popular,affaan-m-everything-claude-code-skills-golang-testing-skill-md,golang-testing,1,1,20,0,,0,0,
popular,affaan-m-everything-claude-code-skills-iterative-retrieval-skill-md,iterative-retrieval,1,3,8,0,,0,0,
popular,affaan-m-everything-claude-code-skills-java-coding-standards-skill-md,java-coding-standards,1,1,8,0,,0,0,
popular,affaan-m-everything-claude-code-skills-jpa-patterns-skill-md,jpa-patterns,1,0,10,0,,0,0,
popular,affaan-m-everything-claude-code-skills-nutrient-document-processing-skill-md,nutrient-document-processing,1,1,9,0,,0,0,
popular,affaan-m-everything-claude-code-skills-postgres-patterns-skill-md,postgres-patterns,1,1,9,0,,0,0,
popular,affaan-m-everything-claude-code-skills-python-patterns-skill-md,python-patterns,1,1,34,0,,0,0,
popular,affaan-m-everything-claude-code-skills-python-testing-skill-md,python-testing,1,4,41,0,,0,0,
popular,affaan-m-everything-claude-code-skills-security-review-skill-md,security-review,1,1,22,0,,0,0,
popular,affaan-m-everything-claude-code-skills-springboot-patterns-skill-md,springboot-patterns,1,0,12,0,,0,0,
popular,affaan-m-everything-claude-code-skills-springboot-security-skill-md,springboot-security,1,2,10,0,,0,0,
popular,affaan-m-everything-claude-code-skills-springboot-tdd-skill-md,springboot-tdd,1,0,6,0,,0,0,
popular,affaan-m-everything-claude-code-skills-springboot-verification-skill-md,springboot-verification,1,7,12,0,,0,0,
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,1,0,1,0,,0,0,
popular,affaan-m-everything-claude-code-skills-tdd-workflow-skill-md,tdd-workflow,1,1,24,0,,0,0,
popular,agno-agi-agno-cookbook-05-agent-os-skills-sample-skills-system-info-skill-md,system-info,1,0,0,0,,0,0,
popular,airbytehq-airbyte-claude-skills-my-prs-skill-md,my-prs,1,1,2,0,,0,0,
popular,alpinejs-alpine-claude-skills-review-pr-skill-md,review-pr,1,0,11,0,,0,0,
popular,alpinejs-alpine-claude-skills-summarize-activity-skill-md,summarize-activity,1,2,9,0,,0,0,
popular,amruthpillai-reactive-resume-skills-resume-builder-skill-md,resume-builder,1,2,1,0,,0,0,
popular,angular-angular-gemini-skills-reference-compiler-cli-skill-md,reference-compiler-cli,1,0,0,0,,0,0,
popular,angular-angular-gemini-skills-reference-core-skill-md,reference-core,1,0,0,0,,0,0,
popular,angular-angular-gemini-skills-reference-signal-forms-skill-md,reference-signal-forms,1,1,1,0,,0,0,
popular,anthropics-claude-code-plugins-claude-opus-4-5-migration-skills-claude-opus-4-5-migration-skill-md,claude-opus-4-5-migration,1,0,1,0,,0,0,
popular,anthropics-claude-code-plugins-frontend-design-skills-frontend-design-skill-md,frontend-design,1,1,0,0,,0,0,
popular,anthropics-claude-code-plugins-hookify-skills-writing-rules-skill-md,rule-identifier,1,6,15,0,,0,0,
popular,anthropics-claude-code-plugins-plugin-dev-skills-agent-development-skill-md,agent-identifier,1,43,8,1,examples,2,23507,.md:2
popular,anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md,command-development,1,11,44,1,examples,2,22664,.md:2
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,1,19,32,1,examples,3,4216,.sh:3
popular,anthropics-claude-code-plugins-plugin-dev-skills-mcp-integration-skill-md,mcp-integration,1,10,20,1,examples,3,1601,.json:3
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-settings-skill-md,configured-agent,1,9,29,1,examples,3,7312,.md:2;.sh:1
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-structure-skill-md,command-name,1,13,20,1,examples,3,33787,.md:3
