cohort,skill_id,skill_dirname,skill_name,author,stars,updated_at,github_url,skill_url,file_count,dir_count,max_depth,total_bytes,local_content_path,has_skill_md,skill_md_relpath,skill_md_lines,skill_md_words,heading_count,code_fence_count,ordered_list_count,bullet_list_count,step_signal_count,example_signal_count,boundary_signal_count,placeholder_count,version_mention_count,license_mention_count,has_scripts,has_templates,has_docs,has_config,has_license_file,taxonomy_labels,security_positive_score,security_risk_score,has_security_risk_signal
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md,frontend-patterns,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/frontend-patterns,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md,1,0,1,14140,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-frontend-patterns-skill-md/content,True,SKILL.md,631,1295,23,30,0,0,7,0,0,28,3,0,False,False,False,False,False,coding_dev,0,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md,golang-patterns,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/golang-patterns,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md,1,0,1,13726,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-golang-patterns-skill-md/content,True,SKILL.md,673,1510,42,52,0,15,6,0,1,0,0,0,False,False,False,False,False,coding_dev;documentation_writing;workflow_automation,0,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md,golang-testing,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/golang-testing,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md,1,0,1,16523,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-golang-testing-skill-md/content,True,SKILL.md,721,1806,48,40,0,21,9,1,2,1,2,0,False,False,False,False,False,coding_dev;workflow_automation,0,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md,iterative-retrieval,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/iterative-retrieval,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md,1,0,1,6172,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-iterative-retrieval-skill-md/content,True,SKILL.md,206,481,13,16,10,13,1,0,1,0,18,0,False,False,False,False,False,coding_dev;security;research_analysis;workflow_automation,1,4,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md,java-coding-standards,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/java-coding-standards,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md,1,0,1,3531,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-java-coding-standards-skill-md/content,True,SKILL.md,138,304,14,16,0,23,0,1,1,0,0,0,False,False,False,False,False,coding_dev,1,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md,jpa-patterns,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/jpa-patterns,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md,1,0,1,4068,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-jpa-patterns-skill-md/content,True,SKILL.md,145,365,11,20,0,16,0,0,0,0,0,0,False,False,False,False,False,coding_dev,0,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md,postgres-patterns,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/postgres-patterns,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md,1,0,1,3774,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-postgres-patterns-skill-md/content,True,SKILL.md,153,430,9,18,0,8,2,0,2,0,0,1,False,False,False,False,False,coding_dev;security;workflow_automation;integration_tools,2,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md,python-patterns,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/python-patterns,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md,1,0,1,16514,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-python-patterns-skill-md/content,True,SKILL.md,749,1922,109,68,0,4,3,1,1,13,18,0,False,False,False,False,False,coding_dev;workflow_automation,0,0,False
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md,python-testing,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/python-testing,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md,1,0,1,18615,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-python-testing-skill-md/content,True,SKILL.md,815,1895,98,82,3,23,6,4,0,1,0,0,False,False,False,False,False,coding_dev;documentation_writing,0,4,True
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md,affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md,security-review,affaan-m,43586,1770299874,https://github.com/affaan-m/everything-claude-code/tree/main/docs/zh-CN/skills/security-review,https://skillsmp.com/skills/affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md,2,0,1,21766,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-security-review-skill-md/content,True,SKILL.md,526,1136,54,44,0,71,3,1,2,4,0,0,False,False,False,False,False,coding_dev;security;workflow_automation,13,14,True
